,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,-0.02255749,-0.137720342,0.00308148,-0.00308148,0.028730645,-0.028730645,-0.185876913,0.01029046,0.01029046,0.48318384,0.137720342,-0.00308148,-0.00308148,0.028730645,-0.028730645,-0.185876913,-0.01029046,0.01029046,-0.48318384,-0.106445199,0.009981253,-0.009981253,0.02785554,-0.02785554,0.009981253,0.009981253,-0.003484174,-0.003484174,0.003484174,0.003484174,-0.006328347,-0.006328347,0.006328347,0.006328347,0.02785554,-0.02785554,-0.006328347,0.006328347,0.006328347,-0.006328347,-0.026969031,0.026969031,0.026969031,-0.026969031,0.06481014,-0.00079056,0.00079056,-0.013593579,0.013593579,0.010214938,-0.010214938,-0.002936745,0.002936745,0.002936745,-0.002936745,-0.00757795,0.00757795,0.00757795,-0.00757795,0.108523684,-0.012272184,0.012272184,-0.042992604,0.042992604,-0.06481014,-0.010214938,-0.010214938,0.00079056,0.00079056,0.002936745,0.002936745,0.002936745,0.002936745,0.013593579,-0.013593579,0.00757795,-0.00757795,0.00757795,-0.00757795,0.085520559,-0.006010482,-0.006010482,-0.006010482,0.006010482,0.006913849,-0.006913849,0.006913849,-0.006913849,0.070406029,0.013708141,0.013708141,0.108523684,-0.012272184,-0.012272184,-0.042992604,0.042992604,-0.070406029,-0.013708141,0.013708141,-0.131183025,-7.039732522
1,-0.027917007,-0.13724087,0.003139524,-0.003139524,0.028342788,-0.028342788,-0.185879283,0.010531053,0.010531053,0.480836116,0.13724087,-0.003139524,-0.003139524,0.028342788,-0.028342788,-0.185879283,-0.010531053,0.010531053,-0.480836116,-0.106917132,0.009856744,-0.009856744,0.028133605,-0.028133605,0.009856744,0.009856744,-0.003404867,-0.003404867,0.003404867,0.003404867,-0.006326618,-0.006326618,0.006326618,0.006326618,0.028133605,-0.028133605,-0.006326618,0.006326618,0.006326618,-0.006326618,-0.027115346,0.027115346,0.027115346,-0.027115346,0.064771207,-0.00088211,0.00088211,-0.013478491,0.013478491,0.010190901,-0.010190901,-0.002840051,0.002840051,0.002840051,-0.002840051,-0.007518473,0.007518473,0.007518473,-0.007518473,0.108732744,-0.012114167,0.012114167,-0.042997901,0.042997901,-0.064771207,-0.010190901,-0.010190901,0.00088211,0.00088211,0.002840051,0.002840051,0.002840051,0.002840051,0.013478491,-0.013478491,0.007518473,-0.007518473,0.007518473,-0.007518473,0.085472256,-0.006135,-0.006135,-0.006135,0.006135,0.006885126,-0.006885126,0.006885126,-0.006885126,0.070212254,0.013523415,0.013523415,0.108732744,-0.012114167,-0.012114167,-0.042997901,0.042997901,-0.070212254,-0.013523415,0.013523415,-0.130764285,-7.051256232
2,-0.033207562,-0.136755073,0.003195296,-0.003195296,0.027955289,-0.027955289,-0.185885282,0.010764298,0.010764298,0.47852265,0.136755073,-0.003195296,-0.003195296,0.027955289,-0.027955289,-0.185885282,-0.010764298,0.010764298,-0.47852265,-0.107381404,0.009734425,-0.009734425,0.028408019,-0.028408019,0.009734425,0.009734425,-0.003330618,-0.003330618,0.003330618,0.003330618,-0.006323272,-0.006323272,0.006323272,0.006323272,0.028408019,-0.028408019,-0.006323272,0.006323272,0.006323272,-0.006323272,-0.027257422,0.027257422,0.027257422,-0.027257422,0.064736654,-0.000970533,0.000970533,-0.013364571,0.013364571,0.010166885,-0.010166885,-0.002745793,0.002745793,0.002745793,-0.002745793,-0.007460788,0.007460788,0.007460788,-0.007460788,0.108934527,-0.011959195,0.011959195,-0.042998736,0.042998736,-0.064736654,-0.010166885,-0.010166885,0.000970533,0.000970533,0.002745793,0.002745793,0.002745793,0.002745793,0.013364571,-0.013364571,0.007460788,-0.007460788,0.007460788,-0.007460788,0.08542257,-0.006254714,-0.006254714,-0.006254714,0.006254714,0.006858495,-0.006858495,0.006858495,-0.006858495,0.0700236,0.013344529,0.013344529,0.108934527,-0.011959195,-0.011959195,-0.042998736,0.042998736,-0.0700236,-0.013344529,0.013344529,-0.130347061,-7.062614992
3,-0.038428767,-0.136263194,0.00324858,-0.00324858,0.027568551,-0.027568551,-0.185894901,0.010990399,0.010990399,0.476243509,0.136263194,-0.00324858,-0.00324858,0.027568551,-0.027568551,-0.185894901,-0.010990399,0.010990399,-0.476243509,-0.107838073,0.00961468,-0.00961468,0.028678646,-0.028678646,0.00961468,0.00961468,-0.003261233,-0.003261233,0.003261233,0.003261233,-0.006318527,-0.006318527,0.006318527,0.006318527,0.028678646,-0.028678646,-0.006318527,0.006318527,0.006318527,-0.006318527,-0.027395274,0.027395274,0.027395274,-0.027395274,0.06470627,-0.0010557,0.0010557,-0.013251966,0.013251966,0.01014312,-0.01014312,-0.002654113,0.002654113,0.002654113,-0.002654113,-0.007405019,0.007405019,0.007405019,-0.007405019,0.109129123,-0.011807564,0.011807564,-0.04299523,0.04299523,-0.06470627,-0.01014312,-0.01014312,0.0010557,0.0010557,0.002654113,0.002654113,0.002654113,0.002654113,0.013251966,-0.013251966,0.007405019,-0.007405019,0.007405019,-0.007405019,0.085371781,-0.006369694,-0.006369694,-0.006369694,0.006369694,0.006833924,-0.006833924,0.006833924,-0.006833924,0.069839995,0.013171601,0.013171601,0.109129123,-0.011807564,-0.011807564,-0.04299523,0.04299523,-0.069839995,-0.013171601,0.013171601,-0.129931515,-7.073811992
4,-0.043580286,-0.135765475,0.003299187,-0.003299187,0.027182936,-0.027182936,-0.185908124,0.011209582,0.011209582,0.473998736,0.135765475,-0.003299187,-0.003299187,0.027182936,-0.027182936,-0.185908124,-0.011209582,0.011209582,-0.473998736,-0.108287235,0.009497847,-0.009497847,0.028945374,-0.028945374,0.009497847,0.009497847,-0.003196505,-0.003196505,0.003196505,0.003196505,-0.006312595,-0.006312595,0.006312595,0.006312595,0.028945374,-0.028945374,-0.006312595,0.006312595,0.006312595,-0.006312595,-0.02752893,0.02752893,0.02752893,-0.02752893,0.064679829,-0.00113751,0.00113751,-0.013140798,0.013140798,0.010119818,-0.010119818,-0.002565126,0.002565126,0.002565126,-0.002565126,-0.007351269,0.007351269,0.007351269,-0.007351269,0.109316651,-0.011659528,0.011659528,-0.042987512,0.042987512,-0.064679829,-0.010119818,-0.010119818,0.00113751,0.00113751,0.002565126,0.002565126,0.002565126,0.002565126,0.013140798,-0.013140798,0.007351269,-0.007351269,0.007351269,-0.007351269,0.085320157,-0.006480028,-0.006480028,-0.006480028,0.006480028,0.006811365,-0.006811365,0.006811365,-0.006811365,0.069661345,0.013004711,0.013004711,0.109316651,-0.011659528,-0.011659528,-0.042987512,0.042987512,-0.069661345,-0.013004711,0.013004711,-0.129517814,-7.084850321
5,-0.048661826,-0.135262161,0.003346965,-0.003346965,0.026798774,-0.026798774,-0.185924928,0.011422091,0.011422091,0.471788357,0.135262161,-0.003346965,-0.003346965,0.026798774,-0.026798774,-0.185924928,-0.011422091,0.011422091,-0.471788357,-0.108729011,0.00938422,-0.00938422,0.029208118,-0.029208118,0.00938422,0.00938422,-0.003136213,-0.003136213,0.003136213,0.003136213,-0.006305674,-0.006305674,0.006305674,0.006305674,0.029208118,-0.029208118,-0.006305674,0.006305674,0.006305674,-0.006305674,-0.027658432,0.027658432,0.027658432,-0.027658432,0.064657094,-0.001215889,0.001215889,-0.013031169,0.013031169,0.01009717,-0.01009717,-0.002478921,0.002478921,0.002478921,-0.002478921,-0.007299619,0.007299619,0.007299619,-0.007299619,0.109497247,-0.011515299,0.011515299,-0.042975724,0.042975724,-0.064657094,-0.01009717,-0.01009717,0.001215889,0.001215889,0.002478921,0.002478921,0.002478921,0.002478921,0.013031169,-0.013031169,0.007299619,-0.007299619,0.007299619,-0.007299619,0.085267954,-0.006585823,-0.006585823,-0.006585823,0.006585823,0.006790762,-0.006790762,0.006790762,-0.006790762,0.069487536,0.012843895,0.012843895,0.109497247,-0.011515299,-0.011515299,-0.042975724,0.042975724,-0.069487536,-0.012843895,0.012843895,-0.129106122,-7.095732974
6,-0.053673139,-0.1347535,0.003391788,-0.003391788,0.026416358,-0.026416358,-0.185945287,0.011628181,0.011628181,0.469612377,0.1347535,-0.003391788,-0.003391788,0.026416358,-0.026416358,-0.185945287,-0.011628181,0.011628181,-0.469612377,-0.109163551,0.009274044,-0.009274044,0.029466813,-0.029466813,0.009274044,0.009274044,-0.00308013,-0.00308013,0.00308013,0.00308013,-0.006297952,-0.006297952,0.006297952,0.006297952,0.029466813,-0.029466813,-0.006297952,0.006297952,0.006297952,-0.006297952,-0.02778383,0.02778383,0.02778383,-0.02778383,0.064637819,-0.001290787,0.001290787,-0.012923155,0.012923155,0.010075346,-0.010075346,-0.002395564,0.002395564,0.002395564,-0.002395564,-0.007250129,0.007250129,0.007250129,-0.007250129,0.109671067,-0.011375048,0.011375048,-0.042960016,0.042960016,-0.064637819,-0.010075346,-0.010075346,0.001290787,0.001290787,0.002395564,0.002395564,0.002395564,0.002395564,0.012923155,-0.012923155,0.007250129,-0.007250129,0.007250129,-0.007250129,0.085215414,-0.0066872,-0.0066872,-0.0066872,0.0066872,0.00677205,-0.00677205,0.00677205,-0.00677205,0.069318437,0.012689153,0.012689153,0.109671067,-0.011375048,-0.011375048,-0.042960016,0.042960016,-0.069318437,-0.012689153,0.012689153,-0.128696602,-7.106462857
7,-0.058614019,-0.134239741,0.003433562,-0.003433562,0.026035949,-0.026035949,-0.185969167,0.011828116,0.011828116,0.467470782,0.134239741,-0.003433562,-0.003433562,0.026035949,-0.026035949,-0.185969167,-0.011828116,0.011828116,-0.467470782,-0.10959102,0.009167525,-0.009167525,0.029721412,-0.029721412,0.009167525,0.009167525,-0.003028027,-0.003028027,0.003028027,0.003028027,-0.006289604,-0.006289604,0.006289604,0.006289604,0.029721412,-0.029721412,-0.006289604,0.006289604,0.006289604,-0.006289604,-0.027905186,0.027905186,0.027905186,-0.027905186,0.064621756,-0.00136218,0.00136218,-0.012816815,0.012816815,0.010054495,-0.010054495,-0.002315099,0.002315099,0.002315099,-0.002315099,-0.007202842,0.007202842,0.007202842,-0.007202842,0.109838279,-0.01123891,0.01123891,-0.042940546,0.042940546,-0.064621756,-0.010054495,-0.010054495,0.00136218,0.00136218,0.002315099,0.002315099,0.002315099,0.002315099,0.012816815,-0.012816815,0.007202842,-0.007202842,0.007202842,-0.007202842,0.085162763,-0.006784292,-0.006784292,-0.006784292,0.006784292,0.006755154,-0.006755154,0.006755154,-0.006755154,0.069153909,0.012540454,0.012540454,0.109838279,-0.01123891,-0.01123891,-0.042940546,0.042940546,-0.069153909,-0.012540454,0.012540454,-0.128289419,-7.117042791
8,-0.0634843,-0.133721135,0.003472219,-0.003472219,0.025657777,-0.025657777,-0.185996528,0.012022164,0.012022164,0.465363543,0.133721135,-0.003472219,-0.003472219,0.025657777,-0.025657777,-0.185996528,-0.012022164,0.012022164,-0.465363543,-0.110011598,0.009064825,-0.009064825,0.029971889,-0.029971889,0.009064825,0.009064825,-0.002979671,-0.002979671,0.002979671,0.002979671,-0.006280788,-0.006280788,0.006280788,0.006280788,0.029971889,-0.029971889,-0.006280788,0.006280788,0.006280788,-0.006280788,-0.02802257,0.02802257,0.02802257,-0.02802257,0.064608656,-0.001430063,0.001430063,-0.012712188,0.012712188,0.010034746,-0.010034746,-0.002237547,0.002237547,0.002237547,-0.002237547,-0.007157784,0.007157784,0.007157784,-0.007157784,0.109999066,-0.011106983,0.011106983,-0.042917477,0.042917477,-0.064608656,-0.010034746,-0.010034746,0.001430063,0.001430063,0.002237547,0.002237547,0.002237547,0.002237547,0.012712188,-0.012712188,0.007157784,-0.007157784,0.007157784,-0.007157784,0.085110208,-0.006877239,-0.006877239,-0.006877239,0.006877239,0.006739996,-0.006739996,0.006739996,-0.006739996,0.068993798,0.012397736,0.012397736,0.109999066,-0.011106983,-0.011106983,-0.042917477,0.042917477,-0.068993798,-0.012397736,0.012397736,-0.127884734,-7.127475516
9,-0.068283856,-0.133197936,0.003507718,-0.003507718,0.025282043,-0.025282043,-0.186027325,0.012210594,0.012210594,0.463290611,0.133197936,-0.003507718,-0.003507718,0.025282043,-0.025282043,-0.186027325,-0.012210594,0.012210594,-0.463290611,-0.110425474,0.00896607,-0.00896607,0.030218232,-0.030218232,0.00896607,0.00896607,-0.002934832,-0.002934832,0.002934832,0.002934832,-0.006271653,-0.006271653,0.006271653,0.006271653,0.030218232,-0.030218232,-0.006271653,0.006271653,0.006271653,-0.006271653,-0.028136056,0.028136056,0.028136056,-0.028136056,0.06459827,-0.001494453,0.001494453,-0.012609298,0.012609298,0.010016207,-0.010016207,-0.002162913,0.002162913,0.002162913,-0.002162913,-0.007114962,0.007114962,0.007114962,-0.007114962,0.110153615,-0.010979336,0.010979336,-0.042890976,0.042890976,-0.06459827,-0.010016207,-0.010016207,0.001494453,0.001494453,0.002162913,0.002162913,0.002162913,0.002162913,0.012609298,-0.012609298,0.007114962,-0.007114962,0.007114962,-0.007114962,0.085057941,-0.006966187,-0.006966187,-0.006966187,0.006966187,0.006726494,-0.006726494,0.006726494,-0.006726494,0.068837949,0.01226091,0.01226091,0.110153615,-0.010979336,-0.010979336,-0.042890976,0.042890976,-0.068837949,-0.01226091,0.01226091,-0.127482705,-7.137763695
